Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",102,"0 3rd Cross Road, 4N Block, Ramchandrapuram, Srirampura, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1245,847,1829
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",103,"22/A, West Of Chord Road, 3rd Stage, Basaveshwar Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1853,1307,2626
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",104,"0 4th Main Road, KHB Colony, Basaveshwar Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1995,1401,2839
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",105,"Umamaheshwara Niwas, Bovi Colony, Basaveshwar Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1601,1127,2273
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",106,"0 6th Cross Road, 4th M Block, Manjunath Nagar, Rajaji Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1374,948,1989
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",107,"1400 6th Cross Road, Bashyam Nagar, Dayananda Nagar, Rajaji Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1349,897,2028
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",108,"G/10, Mariappanapalya, Rajaji Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1344,919,1964
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",109,"0 12th Main Road, 2nd Block, Basaveshwar Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1688,1180,2413
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",110,"400 13th Cross Road, Govindaraja Nagar Ward, Cauvery Nagar, Vijaya Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1983,1390,2828
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",111,"1700 5th Main Road, Govindaraja Nagar Ward, Govindarajanagar, Vijaya Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1800,1273,2543
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",112,"0 17th A Cross Road, Agrahara Dasarahalli, Rajaji Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1735,1214,2477
